,name,number,average_age,sex
827,jesus jose,1739,54.9,M
828,nico,1739,6.3,M
829,gil,1737,46.4,M
830,sandro,1737,23.6,M
831,balbino,1732,65.3,M
832,diego alejandro,1725,23.2,M
833,tristan,1718,12.5,M
834,angel javier,1714,44.6,M
835,santiago jose,1714,39.8,M
836,aniol,1710,11.6,M
837,jesus ignacio,1710,50.1,M
838,reda,1707,15.9,M
839,andriy,1705,37.5,M
840,brayan,1704,12.1,M
841,juan felipe,1703,38.5,M
842,francisco rafael,1702,46.4,M
843,abdelhamid,1695,42.5,M
844,viktor,1686,39.6,M
845,luis ramon,1683,52.5,M
846,jose santiago,1681,52.4,M
847,costel,1678,42.6,M
848,blai,1671,18.4,M
849,paolo,1670,38.4,M
850,remigio,1669,64.8,M
851,bartomeu,1662,42.2,M
852,antonino,1661,64.2,M
853,victorio,1660,66.1,M
854,francisco juan,1658,51.6,M
855,koldo,1656,32.8,M
856,francisco daniel,1654,35.6,M
857,antonio rafael,1652,47.6,M
858,jesus carlos,1644,50.4,M
859,mohamed amine,1640,13.9,M
860,jose ivan,1639,36.7,M
861,buenaventura,1636,63.1,M
862,pepe,1634,8.6,M
863,crescencio,1632,70.9,M
864,andres jesus,1628,39.2,M
865,miquel angel,1628,38.2,M
866,manuel fernando,1627,50.8,M
867,mateu,1616,26.7,M
868,aron,1611,11.8,M
869,jose jorge,1611,50.2,M
870,aureliano,1609,66.7,M
871,tiago,1609,11.2,M
872,jose eugenio,1600,53.6,M
873,manuel alberto,1597,45.0,M
874,moustapha,1597,38.3,M
875,joshua,1595,23.5,M
876,oleg,1591,41.7,M
877,marçal,1590,20.4,M
878,fernando luis,1587,52.1,M
879,petru,1584,45.8,M
880,juan marcos,1580,41.9,M
881,alberto manuel,1579,41.4,M
882,juan agustin,1579,53.6,M
883,romualdo,1577,60.9,M
